Common Name,Scientific Name,Attain,Literature Randall
Bird Wrasse,Gomphosus varius,15,Estimate 
Brown Tang,Zebrasoma scopas,21.5,pg 101
Bullethead Parrotfish,Chlorurus sordidus,40,pg 458
Cornetfish,Fistularia commersonii,150,pg 653
Damselfish,Stegastes nigricans,14,pg 332
Dark-capped Parrotfish,Scarus oviceps,30,pg 646
Dusky Angelfish,Centropyge bispinosa,11,pg 327
Guineafowl Puffer,Arothron meleagris,32,Estimate
Juvenile Parrotfish,,12,Estimate
Lemonpeel Angelfish,Centropyge flavissima,10.5,pg 324
Longnose Butterflyfish,Forcipiger flavissimus,18.2,pg 315
Melon Butterflyfish,Chaetodon trifasciatus,15,pg 572
Moorish Idol,Zanclus cornutus,22,
Orange-lined Triggerfish,Balistapus undulatus,30.5,pg 314
Pacific Butterflyfish,Chaetodon ulietensis,15,
Raccoon Butterflyfish,Chaetodon lunula,20,Estimate
Regal Angelfish,Pygoplites diacanthus,25,Estimate
Scissortail Sergeant,Abudefduf sexfasciatus,11,
Sixbar Wrasse,Thalassoma hardwicke,9,
Speckled Butterflyfish,Chaetodon citrinellus,13,pg 586
Spotted Porcupinefish,Diodon hystrix,71,pg 309
Striated Surgeonfish,Ctenochaetus striatus,26,
Threadfin Butterflyfish,Chaetodon auriga,20,pg 322
Threeband Pennantfish,Heniochus chrysostomus,16,Estimate
Whitebar Gregory,Stegastes albifasciatus,11,pg 383